application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
Banking,3862,2343,3309,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
News Portal,8582,888,3324,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Portfolio,78396,3145,7,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
ERP,1707,1707,454,europe-west,8,16,AWS,c5.2xlarge,0.34,High,244.8
Blog,13407,610,4146,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
E-Commerce,2754,46,4,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Healthcare,92957,18696,959,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
Blog,29795,864,104,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,214,214,28,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,34982,2843,31,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Banking,757,114,34,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
CRM,57909,6,9,europe-west,2,4,Azure,B2s,0.05,Medium,36.0
Social Media,16936,597,2,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
Banking,4626,202,147,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
Social Media,45648,4640,98,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
CRM,162811,1281,514,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
ERP,88543,1304,46,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Banking,14263,910,2010,us-east,8,16,GCP,n2-standard-8,0.388,High,279.36
Healthcare,57109,4972,618,asia-south,8,16,GCP,n2-standard-8,0.388,Medium,279.36
CRM,5099,75,307,europe-west,2,4,GCP,e2-medium,0.033,Low,23.76
Blog,95961,483,85,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
News Portal,131250,4559,7,europe-west,8,16,Azure,F4s_v2,0.169,High,121.68
Portfolio,586,55,3,us-east,1,2,Azure,B2s,0.05,Low,36.0
Blog,1288,69,499,europe-west,1,2,AWS,t3.small,0.0208,Low,14.98
Healthcare,1654,139,4,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
Streaming,733,11,5,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
Streaming,4314,239,21,europe-west,8,16,Azure,F4s_v2,0.169,High,121.68
Social Media,906,15,2636,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Healthcare,21117,441,433,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Banking,443,48,487,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
CRM,1653,217,772,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Social Media,36511,38,967,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Healthcare,4521,17,4815,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
Blog,5409,203,4,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
Blog,102880,16934,5,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
ERP,442936,48881,3976,europe-west,16,32,Azure,F4s_v2,0.169,Medium,121.68
Banking,16638,9271,79,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
Blog,371,7,2283,asia-south,1,2,AWS,t3.small,0.0208,Low,14.98
ERP,447,22,138,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
E-Commerce,390785,17012,456,asia-south,16,32,AWS,c5.2xlarge,0.34,High,244.8
Banking,40647,546,130,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
Portfolio,72090,362,3075,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
News Portal,39558,243,5,us-east,4,8,Azure,D4s_v3,0.192,High,138.24
News Portal,815,46,4,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
Portfolio,6676,516,2009,europe-west,2,4,GCP,e2-medium,0.033,Low,23.76
News Portal,103005,5215,8,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
Blog,175744,75,2361,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Social Media,1281,154,2,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
News Portal,21187,1381,3775,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
News Portal,684,53,6,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
ERP,360743,8204,7,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Social Media,1439,39,10,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
ERP,58897,7455,1064,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Blog,1220,602,35,europe-west,4,8,Azure,D4s_v3,0.192,High,138.24
Banking,24794,279,66,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Healthcare,34767,736,30,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
E-Commerce,2612,170,39,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Portfolio,121165,1881,48,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
Healthcare,203923,22605,802,asia-south,16,32,GCP,n2-standard-8,0.388,Medium,279.36
Social Media,160882,26985,169,us-east,8,16,AWS,c5.2xlarge,0.34,Low,244.8
CRM,2661,15,953,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
Blog,67648,2483,175,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
Banking,15927,96,3,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,20642,372,1746,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
Healthcare,8381,5714,10,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Portfolio,21912,351,16,us-east,2,4,Azure,B2s,0.05,Low,36.0
Streaming,578,297,51,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Blog,4901,4901,1183,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
News Portal,803,803,19,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
CRM,1790,203,3,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
Portfolio,544,544,1259,us-east,1,2,AWS,t3.small,0.0208,Low,14.98
Social Media,1055,60,135,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Portfolio,90778,9693,7,us-east,8,16,GCP,n2-standard-8,0.388,High,279.36
Portfolio,14769,1458,1488,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
Healthcare,241,241,2001,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Healthcare,95585,6470,84,europe-west,16,32,Azure,F4s_v2,0.169,High,121.68
CRM,246235,95,1529,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Social Media,196190,7674,38,us-east,16,32,GCP,n2-standard-8,0.388,Medium,279.36
Streaming,125196,460,2085,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
ERP,470459,3657,24,europe-west,8,16,Azure,F4s_v2,0.169,Low,121.68
News Portal,19660,548,3516,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
Social Media,373117,11099,680,asia-south,16,32,AWS,c5.2xlarge,0.34,Medium,244.8
Banking,335078,1718,976,us-east,16,32,AWS,c5.2xlarge,0.34,High,244.8
Healthcare,2320,103,3859,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,171762,19495,559,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Streaming,98584,14170,8,asia-south,16,32,GCP,n2-standard-8,0.388,High,279.36
CRM,86526,803,2009,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
ERP,222095,2528,180,us-east,16,32,GCP,n2-standard-8,0.388,High,279.36
E-Commerce,4041,42,2002,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Healthcare,4575,129,15,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,29915,17175,8,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Social Media,64276,21,2,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Social Media,195130,24463,159,us-east,16,32,GCP,n2-standard-8,0.388,Medium,279.36
E-Commerce,189278,14679,4,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
Portfolio,56507,1464,244,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Blog,356857,25663,58,asia-south,8,16,AWS,c5.2xlarge,0.34,Low,244.8
Portfolio,809,10,3612,europe-west,1,2,Azure,B2s,0.05,Low,36.0
ERP,339022,251,8,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
CRM,330,11,68,us-east,1,2,AWS,t3.small,0.0208,Low,14.98
News Portal,15453,957,3833,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
CRM,405,30,1400,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Social Media,17024,104,17,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Streaming,4233,4233,3194,europe-west,8,16,AWS,c5.2xlarge,0.34,Low,244.8
Banking,379,379,1211,us-east,4,8,Azure,D4s_v3,0.192,High,138.24
Portfolio,31863,1306,3,us-east,4,8,Azure,D4s_v3,0.192,High,138.24
Healthcare,61038,4670,5,asia-south,8,16,GCP,n2-standard-8,0.388,High,279.36
News Portal,781,781,975,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
CRM,45781,577,1890,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Streaming,812,812,2292,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
E-Commerce,586,374,419,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
E-Commerce,634,31,204,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
Streaming,21710,390,242,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
E-Commerce,88576,285,36,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
Banking,21342,351,4243,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
Social Media,112501,21,583,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
News Portal,20457,27,14,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
News Portal,102395,5708,1362,europe-west,16,32,AWS,c5.2xlarge,0.34,High,244.8
Streaming,416097,30195,17,asia-south,16,32,Azure,F4s_v2,0.169,Medium,121.68
Blog,4261,34,3152,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
ERP,646,10,335,us-east,1,2,GCP,e2-small,0.017,Low,12.24
CRM,577,46,27,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
Banking,21440,134,86,europe-west,4,8,GCP,n2-standard-4,0.194,Low,139.68
Healthcare,14456,8,57,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
CRM,845,59,950,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
ERP,198779,2125,48,asia-south,8,16,Azure,F4s_v2,0.169,Low,121.68
E-Commerce,356454,4681,897,asia-south,8,16,Azure,F4s_v2,0.169,Medium,121.68
E-Commerce,1450,73,119,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
ERP,1009,65,2952,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Blog,1066,62,343,europe-west,1,2,AWS,t3.small,0.0208,Low,14.98
Blog,4144,442,46,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
ERP,158579,5142,75,us-east,16,32,GCP,n2-standard-8,0.388,High,279.36
Healthcare,21187,55,420,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Streaming,339,20,1136,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
Blog,8094,634,21,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
ERP,405,11,9,asia-south,2,4,GCP,e2-medium,0.033,High,23.76
CRM,4801,301,16,us-east,2,4,Azure,B2s,0.05,Low,36.0
Banking,4701,126,50,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Portfolio,31922,3722,4,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Social Media,14725,19,4636,asia-south,4,8,Azure,D4s_v3,0.192,Low,138.24
ERP,187670,15,29,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
CRM,227,227,4538,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
CRM,85316,125,733,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,239,17,6,europe-west,2,4,Azure,B2s,0.05,High,36.0
Banking,2163,310,10,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Banking,195017,14079,78,us-east,16,32,Azure,F4s_v2,0.169,Medium,121.68
News Portal,44362,1274,505,europe-west,4,8,Azure,D4s_v3,0.192,Low,138.24
Streaming,768,735,241,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
Streaming,9304,993,226,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Banking,56757,5865,508,europe-west,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Healthcare,306243,20401,36,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
ERP,28603,37,257,europe-west,4,8,Azure,D4s_v3,0.192,High,138.24
Social Media,243,243,2996,us-east,4,8,Azure,D4s_v3,0.192,Low,138.24
ERP,9977,553,2,europe-west,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Healthcare,662,174,503,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
Streaming,291,291,22,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
ERP,21614,1145,2148,europe-west,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Social Media,87290,282,2277,us-east,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Banking,265,10,2,asia-south,1,2,AWS,t3.small,0.0208,Medium,14.98
ERP,91964,9445,4059,asia-south,16,32,Azure,F4s_v2,0.169,High,121.68
Streaming,50268,7,2,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
Banking,71818,813,77,europe-west,8,16,AWS,c5.2xlarge,0.34,High,244.8
News Portal,1357,35,7,asia-south,2,4,GCP,e2-medium,0.033,Medium,23.76
Healthcare,4350,6,178,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,510,510,77,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Portfolio,1296,91,40,us-east,1,2,AWS,t3.small,0.0208,Medium,14.98
Portfolio,2137,1108,2330,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Blog,2435,1491,86,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Healthcare,787,32,8,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
Social Media,876,150,352,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
Healthcare,231298,3805,88,europe-west,8,16,GCP,n2-standard-8,0.388,Low,279.36
Healthcare,92184,6741,11,us-east,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
ERP,2962,41,11,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
E-Commerce,331945,2371,953,asia-south,8,16,GCP,n2-standard-8,0.388,Low,279.36
E-Commerce,1297,1297,2932,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
ERP,4824,201,118,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,116236,2946,414,asia-south,16,32,AWS,c5.2xlarge,0.34,High,244.8
Blog,6396,23,5,europe-west,1,2,Azure,B2s,0.05,Low,36.0
Healthcare,1254,55,68,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Blog,3575,251,72,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
Streaming,10057,157,7,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Healthcare,25701,1065,2,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
News Portal,4778,31,387,europe-west,2,4,Azure,B2s,0.05,Low,36.0
Streaming,5842,607,36,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
News Portal,1577,837,39,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
Portfolio,13186,394,3464,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
CRM,1114,26,8,asia-south,1,2,GCP,e2-small,0.017,Medium,12.24
Social Media,177350,14836,1047,us-east,16,32,GCP,n2-standard-8,0.388,High,279.36
CRM,69269,3590,2262,europe-west,4,8,AWS,m5.xlarge,0.192,Low,138.24
Banking,4956,511,652,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Banking,69194,3009,29,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
Streaming,211,19,35,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
Portfolio,2962,50,6,us-east,2,4,AWS,t3.medium,0.0416,High,29.95
Healthcare,6268,322,3,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Social Media,7895,359,18,europe-west,8,16,GCP,n2-standard-8,0.388,High,279.36
Portfolio,70012,7151,26,europe-west,4,8,GCP,n2-standard-4,0.194,Low,139.68
Banking,373759,1760,8,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Healthcare,3911,12,959,europe-west,2,4,Azure,B2s,0.05,Low,36.0
News Portal,3107,116,152,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
CRM,23742,8,7,us-east,2,4,Azure,B2s,0.05,Medium,36.0
E-Commerce,1806,1806,3,us-east,2,4,Azure,B2s,0.05,Low,36.0
E-Commerce,604,17,4179,europe-west,2,4,GCP,e2-medium,0.033,Medium,23.76
Streaming,370074,15243,262,us-east,16,32,AWS,c5.2xlarge,0.34,Low,244.8
ERP,112659,16454,2,asia-south,8,16,GCP,n2-standard-8,0.388,Medium,279.36
E-Commerce,361372,32345,16,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
CRM,1100,1100,350,asia-south,2,4,GCP,e2-medium,0.033,Low,23.76
Portfolio,230,93,1753,us-east,1,2,GCP,e2-small,0.017,Medium,12.24
ERP,6121,79,2428,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
Banking,297425,9410,292,asia-south,16,32,GCP,n2-standard-8,0.388,Medium,279.36
News Portal,590,590,3,us-east,2,4,AWS,t3.medium,0.0416,Low,29.95
Streaming,500,500,4,asia-south,2,4,Azure,B2s,0.05,Low,36.0
Banking,343,6,7,asia-south,2,4,GCP,e2-medium,0.033,High,23.76
CRM,79527,2617,26,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
E-Commerce,93662,2072,1679,europe-west,4,8,Azure,D4s_v3,0.192,Low,138.24
Blog,46119,21,2087,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
Banking,303,303,33,us-east,2,4,Azure,B2s,0.05,Medium,36.0
Banking,57375,4568,22,us-east,16,32,Azure,F4s_v2,0.169,High,121.68
News Portal,6690,46,84,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
E-Commerce,688,688,19,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
Healthcare,2013,26,3026,us-east,4,8,Azure,D4s_v3,0.192,Medium,138.24
Blog,10090,167,51,europe-west,2,4,AWS,t3.medium,0.0416,Low,29.95
Blog,2637,195,1972,europe-west,2,4,GCP,e2-medium,0.033,Low,23.76
Healthcare,394621,16,2,us-east,4,8,GCP,n2-standard-4,0.194,Low,139.68
Streaming,8207,63,15,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Blog,3678,1087,256,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Banking,38762,8072,1059,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
CRM,32475,9,32,asia-south,2,4,Azure,B2s,0.05,Low,36.0
Healthcare,204,172,39,europe-west,2,4,AWS,t3.medium,0.0416,Medium,29.95
Streaming,25268,268,606,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
News Portal,1347,1347,9,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
ERP,3767,45,3,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
Blog,50253,99,6,us-east,2,4,Azure,B2s,0.05,Medium,36.0
Blog,15667,30,606,europe-west,4,8,AWS,m5.xlarge,0.192,High,138.24
Social Media,3578,3578,547,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
E-Commerce,741,11,6,asia-south,1,2,AWS,t3.small,0.0208,Medium,14.98
Portfolio,10438,334,7,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
ERP,2433,16,2100,us-east,4,8,GCP,n2-standard-4,0.194,High,139.68
News Portal,252990,18004,789,europe-west,8,16,Azure,F4s_v2,0.169,Low,121.68
Blog,13083,936,61,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Social Media,175196,20,141,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Portfolio,4235,155,2499,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
CRM,129602,10954,13,europe-west,4,8,Azure,D4s_v3,0.192,Low,138.24
Healthcare,311,2,16,europe-west,1,2,GCP,e2-small,0.017,Medium,12.24
Banking,2061,273,307,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
ERP,369,9,44,us-east,2,4,Azure,B2s,0.05,Medium,36.0
CRM,256,227,25,asia-south,2,4,GCP,e2-medium,0.033,High,23.76
ERP,265014,15,776,europe-west,8,16,AWS,c5.2xlarge,0.34,High,244.8
Healthcare,54564,368,2,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,26614,1221,61,asia-south,4,8,AWS,m5.xlarge,0.192,Low,138.24
E-Commerce,12895,1492,19,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Blog,17232,3569,3281,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
Healthcare,29598,110,103,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
E-Commerce,128736,2844,985,us-east,8,16,GCP,n2-standard-8,0.388,Medium,279.36
CRM,21341,610,767,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,69930,6168,1486,asia-south,8,16,AWS,c5.2xlarge,0.34,Low,244.8
E-Commerce,1802,68,5,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
Blog,416877,24939,2897,us-east,8,16,GCP,n2-standard-8,0.388,Low,279.36
E-Commerce,257,257,59,us-east,4,8,AWS,m5.xlarge,0.192,High,138.24
Streaming,4117,2227,9,asia-south,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Healthcare,198692,17,71,europe-west,4,8,GCP,n2-standard-4,0.194,High,139.68
CRM,821,18,1021,asia-south,1,2,Azure,B2s,0.05,Low,36.0
Blog,604,83,174,asia-south,2,4,AWS,t3.medium,0.0416,High,29.95
ERP,3489,282,258,europe-west,4,8,Azure,D4s_v3,0.192,Medium,138.24
CRM,5702,3702,20,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
CRM,296925,14191,1662,asia-south,8,16,AWS,c5.2xlarge,0.34,Low,244.8
Streaming,138712,274,188,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
News Portal,7551,963,109,asia-south,4,8,GCP,n2-standard-4,0.194,Low,139.68
CRM,404707,41,1115,asia-south,4,8,Azure,D4s_v3,0.192,Medium,138.24
Social Media,30441,896,108,europe-west,8,16,GCP,n2-standard-8,0.388,Medium,279.36
Streaming,186067,5880,31,asia-south,16,32,AWS,c5.2xlarge,0.34,High,244.8
Healthcare,1371,676,3812,asia-south,4,8,GCP,n2-standard-4,0.194,High,139.68
Healthcare,9173,29,15,europe-west,2,4,Azure,B2s,0.05,Low,36.0
ERP,252,252,12,europe-west,2,4,Azure,B2s,0.05,Medium,36.0
Streaming,214,21,426,asia-south,2,4,AWS,t3.medium,0.0416,Low,29.95
Healthcare,49902,3947,46,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Banking,505,22,6,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
CRM,14536,1185,8,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Social Media,46347,2346,143,us-east,16,32,GCP,n2-standard-8,0.388,High,279.36
Portfolio,257,257,1621,us-east,1,2,GCP,e2-small,0.017,Low,12.24
ERP,6696,447,4888,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
Healthcare,42241,5227,956,asia-south,16,32,GCP,n2-standard-8,0.388,High,279.36
News Portal,211000,24213,9,us-east,8,16,Azure,F4s_v2,0.169,Medium,121.68
ERP,2079,93,403,us-east,2,4,AWS,t3.medium,0.0416,Low,29.95
Healthcare,408657,14,9,asia-south,8,16,Azure,F4s_v2,0.169,High,121.68
Banking,148160,6708,7,asia-south,8,16,Azure,F4s_v2,0.169,Low,121.68
CRM,32497,16,8,us-east,2,4,AWS,t3.medium,0.0416,Medium,29.95
Blog,4293,4293,7,asia-south,4,8,AWS,m5.xlarge,0.192,Medium,138.24
CRM,52160,2884,3,us-east,8,16,Azure,F4s_v2,0.169,High,121.68
CRM,118688,5359,42,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
Social Media,2146,10,21,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
News Portal,472723,10776,2621,europe-west,16,32,AWS,c5.2xlarge,0.34,Medium,244.8
E-Commerce,244604,293,1665,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
E-Commerce,8928,77,12,europe-west,2,4,AWS,t3.medium,0.0416,Medium,29.95
Portfolio,57169,249,111,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Blog,12066,49,121,us-east,2,4,GCP,e2-medium,0.033,Medium,23.76
ERP,77024,518,46,europe-west,8,16,Azure,F4s_v2,0.169,High,121.68
E-Commerce,129142,6,59,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Blog,240,240,4,us-east,2,4,AWS,t3.medium,0.0416,High,29.95
Banking,371,38,234,us-east,2,4,Azure,B2s,0.05,Medium,36.0
Blog,2782,32,107,europe-west,1,2,GCP,e2-small,0.017,Low,12.24
Blog,262438,34084,90,europe-west,16,32,GCP,n2-standard-8,0.388,High,279.36
Banking,4512,834,2832,asia-south,8,16,AWS,c5.2xlarge,0.34,Medium,244.8
E-Commerce,207369,13346,1579,us-east,16,32,Azure,F4s_v2,0.169,High,121.68
Social Media,7453,542,40,europe-west,4,8,Azure,D4s_v3,0.192,Low,138.24
Blog,1917,38,114,europe-west,2,4,GCP,e2-medium,0.033,High,23.76
E-Commerce,229810,4727,40,us-east,8,16,AWS,c5.2xlarge,0.34,High,244.8
E-Commerce,16075,718,159,us-east,4,8,AWS,m5.xlarge,0.192,Medium,138.24
News Portal,3357,153,2181,us-east,2,4,GCP,e2-medium,0.033,Low,23.76
Portfolio,283,26,157,us-east,1,2,AWS,t3.small,0.0208,Medium,14.98
CRM,476,19,3236,asia-south,2,4,Azure,B2s,0.05,High,36.0
Healthcare,595,12,1425,asia-south,1,2,GCP,e2-small,0.017,Low,12.24
Blog,3473,129,21,asia-south,4,8,Azure,D4s_v3,0.192,High,138.24
Streaming,23159,1502,95,europe-west,8,16,Azure,F4s_v2,0.169,Medium,121.68
Healthcare,2219,348,60,us-east,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Streaming,334,334,4,europe-west,4,8,GCP,n2-standard-4,0.194,Medium,139.68
Portfolio,1588,222,19,us-east,1,2,GCP,e2-small,0.017,Low,12.24
Social Media,4894,223,68,europe-west,4,8,Azure,D4s_v3,0.192,Low,138.24
CRM,470656,18908,1375,us-east,16,32,Azure,F4s_v2,0.169,High,121.68
Blog,4329,98,2706,asia-south,4,8,AWS,m5.xlarge,0.192,High,138.24
Healthcare,402,37,46,europe-west,2,4,Azure,B2s,0.05,High,36.0
Social Media,18864,45,3,europe-west,4,8,Azure,D4s_v3,0.192,High,138.24
Streaming,266632,18943,2059,asia-south,16,32,GCP,n2-standard-8,0.388,High,279.36
