application_type,expected_users_per_day,concurrent_users,storage_required_gb,deployment_region,required_vcpu,required_ram_gb,cloud_provider_reference,reference_vm_type,price_per_hour,traffic_pattern,monthly_cost
News Portal,41659,2673,151,asia-south,4,8,Azure,D4s_v3,0.1871,Medium,134.71
E-Commerce,7146,2060,274,asia-south,2,4,AWS,t3.medium,0.0416,Medium,29.95
Banking,114658,4320,829,us-east,8,16,Azure,F4s_v2,0.174,High,125.28
Streaming,157317,17181,1568,asia-south,8,16,AWS,c5.2xlarge,0.3326,High,239.47
Portfolio,602,14,2,asia-south,1,2,Azure,B2s,0.0493,Low,35.5
Streaming,77849,13486,4310,asia-south,4,8,GCP,n2-standard-4,0.1943,High,139.9
Healthcare,90646,1975,139,us-east,4,8,AWS,m5.xlarge,0.1932,High,139.1
CRM,51500,1881,181,us-west,4,8,Azure,D4s_v3,0.1878,High,135.22
Banking,20623,4427,169,us-west,2,4,GCP,e2-medium,0.0323,Medium,23.26
Streaming,151438,12169,4651,us-west,8,16,GCP,n2-standard-8,0.39,High,280.8
Portfolio,307,14,9,us-west,1,2,AWS,t3.small,0.0206,Low,14.83
Portfolio,150,37,4,us-east,1,2,Azure,B2s,0.0503,Low,36.22
Social Media,214650,1791,2336,us-west,8,16,AWS,c5.2xlarge,0.3368,High,242.5
Streaming,468649,17082,3342,us-east,16,32,Azure,F4s_v2,0.1734,High,124.85
Streaming,199383,14057,917,us-west,8,16,Azure,F4s_v2,0.1707,High,122.9
Social Media,327034,5040,2295,us-east,16,32,GCP,n2-standard-8,0.399,High,287.28
Banking,123615,4710,137,asia-south,8,16,Azure,F4s_v2,0.1657,High,119.3
Social Media,402030,19558,2572,asia-south,16,32,AWS,c5.2xlarge,0.3448,High,248.26
E-Commerce,54535,2904,388,us-east,4,8,GCP,n2-standard-4,0.1975,High,142.2
Banking,199410,2688,247,us-west,8,16,Azure,F4s_v2,0.1714,High,123.41
ERP,34429,2072,241,asia-south,4,8,Azure,D4s_v3,0.1977,Medium,142.34
ERP,20981,680,255,asia-south,2,4,AWS,t3.medium,0.0425,Medium,30.6
E-Commerce,30492,3627,341,us-east,4,8,GCP,n2-standard-4,0.1976,Medium,142.27
Healthcare,24876,1948,380,us-east,2,4,GCP,e2-medium,0.032,Medium,23.04
CRM,32605,201,66,us-east,4,8,GCP,n2-standard-4,0.1963,Medium,141.34
Portfolio,643,35,2,us-east,1,2,GCP,e2-small,0.0169,Low,12.17
Banking,53412,4542,216,us-east,4,8,AWS,m5.xlarge,0.1953,High,140.62
Banking,99846,3548,971,asia-south,4,8,AWS,m5.xlarge,0.1933,High,139.18
CRM,78212,1322,277,asia-south,4,8,Azure,D4s_v3,0.196,High,141.12
Streaming,381100,12699,4814,us-east,16,32,Azure,F4s_v2,0.1689,High,121.61
News Portal,141327,2485,112,us-east,8,16,Azure,F4s_v2,0.1692,High,121.82
Portfolio,988,35,5,asia-south,1,2,AWS,t3.small,0.021,Low,15.12
Social Media,177584,17347,2157,asia-south,8,16,GCP,n2-standard-8,0.3851,High,277.27
News Portal,83732,2310,77,us-west,4,8,AWS,m5.xlarge,0.193,High,138.96
E-Commerce,77746,2031,482,asia-south,4,8,Azure,D4s_v3,0.1864,High,134.21
ERP,75205,2401,178,us-west,4,8,GCP,n2-standard-4,0.1909,High,137.45
Blog,9383,149,28,asia-south,2,4,GCP,e2-medium,0.0333,Medium,23.98
Healthcare,59957,2520,269,asia-south,4,8,GCP,n2-standard-4,0.1888,High,135.94
Blog,4473,61,44,asia-south,2,4,GCP,e2-medium,0.0325,Low,23.4
Blog,5643,34,32,us-east,2,4,GCP,e2-medium,0.0325,Medium,23.4
Healthcare,25191,1896,342,asia-south,2,4,Azure,B2s,0.0493,Medium,35.5
Streaming,244185,5874,3023,us-west,8,16,GCP,n2-standard-8,0.3885,High,279.72
Banking,138938,3746,702,us-east,8,16,GCP,n2-standard-8,0.3964,High,285.41
Healthcare,61374,1163,246,us-east,4,8,Azure,D4s_v3,0.1906,High,137.23
News Portal,48226,2953,90,us-east,4,8,AWS,m5.xlarge,0.1882,Medium,135.5
Streaming,361136,14348,1178,us-east,16,32,AWS,c5.2xlarge,0.3439,High,247.61
Blog,1848,22,14,us-west,1,2,AWS,t3.small,0.0202,Low,14.54
Healthcare,69572,578,457,asia-south,4,8,Azure,D4s_v3,0.1879,High,135.29
E-Commerce,11731,217,291,asia-south,2,4,GCP,e2-medium,0.0334,Medium,24.05
Portfolio,373,23,6,us-west,1,2,GCP,e2-small,0.0169,Low,12.17
Streaming,399206,4867,831,us-west,16,32,GCP,n2-standard-8,0.3804,High,273.89
CRM,48272,404,59,us-west,4,8,AWS,m5.xlarge,0.1905,Medium,137.16
Blog,1147,177,5,us-east,1,2,Azure,B2s,0.0504,Low,36.29
ERP,54547,2100,351,us-east,4,8,GCP,n2-standard-4,0.1921,High,138.31
CRM,43198,1460,264,us-west,4,8,GCP,n2-standard-4,0.1958,Medium,140.98
Blog,5160,55,9,asia-south,2,4,Azure,B2s,0.05,Medium,36.0
News Portal,73152,1489,181,us-west,4,8,AWS,m5.xlarge,0.1886,High,135.79
Banking,168986,2333,805,us-west,8,16,AWS,c5.2xlarge,0.3383,High,243.58
Portfolio,905,26,3,asia-south,1,2,AWS,t3.small,0.0205,Low,14.76
Banking,128622,3438,621,asia-south,8,16,Azure,F4s_v2,0.1649,High,118.73
CRM,57572,1056,256,asia-south,4,8,GCP,n2-standard-4,0.1897,High,136.58
ERP,91087,1837,207,asia-south,4,8,GCP,n2-standard-4,0.1887,High,135.86
Banking,48986,1771,137,us-east,4,8,AWS,m5.xlarge,0.1947,Medium,140.18
Portfolio,1303,12,3,asia-south,1,2,Azure,B2s,0.051,Low,36.72
Banking,43058,1723,840,us-west,4,8,GCP,n2-standard-4,0.1988,Medium,143.14
CRM,48611,1608,131,us-west,4,8,Azure,D4s_v3,0.1872,Medium,134.78
ERP,136247,2283,309,asia-south,8,16,Azure,F4s_v2,0.1731,High,124.63
Social Media,402405,10913,1359,asia-south,16,32,Azure,F4s_v2,0.1662,High,119.66
Banking,182014,777,472,us-west,8,16,Azure,F4s_v2,0.1696,High,122.11
Healthcare,30098,1613,133,us-west,4,8,AWS,m5.xlarge,0.1914,Medium,137.81
Portfolio,1822,21,7,us-west,1,2,AWS,t3.small,0.0205,Low,14.76
Banking,131504,3756,902,asia-south,8,16,AWS,c5.2xlarge,0.3478,High,250.42
Streaming,285726,6354,3178,us-west,16,32,Azure,F4s_v2,0.1641,High,118.15
Healthcare,91298,1489,484,us-east,4,8,Azure,D4s_v3,0.1911,High,137.59
E-Commerce,5975,1544,178,asia-south,2,4,AWS,t3.medium,0.0413,Medium,29.74
Blog,8477,105,14,us-west,2,4,Azure,B2s,0.049,Medium,35.28
E-Commerce,36460,4400,359,asia-south,4,8,AWS,m5.xlarge,0.1874,Medium,134.93
CRM,31510,1676,96,us-east,4,8,GCP,n2-standard-4,0.1972,Medium,141.98
Portfolio,1678,5,6,us-east,1,2,GCP,e2-small,0.017,Low,12.24
Streaming,469539,14223,3262,us-east,16,32,AWS,c5.2xlarge,0.3385,High,243.72
Blog,8410,148,17,us-east,2,4,AWS,t3.medium,0.0427,Medium,30.74
E-Commerce,48583,4336,190,us-east,4,8,GCP,n2-standard-4,0.1935,Medium,139.32
Healthcare,74302,2618,413,us-west,4,8,GCP,n2-standard-4,0.1966,High,141.55
News Portal,56553,3763,60,us-west,4,8,GCP,n2-standard-4,0.1889,High,136.01
News Portal,148425,2577,187,us-west,8,16,Azure,F4s_v2,0.164,High,118.08
Banking,21668,2830,440,asia-south,2,4,GCP,e2-medium,0.0337,Medium,24.26
Healthcare,82243,2768,132,asia-south,4,8,GCP,n2-standard-4,0.1932,High,139.1
Healthcare,65757,2693,392,us-west,4,8,GCP,n2-standard-4,0.1936,High,139.39
Streaming,487676,9303,4180,asia-south,16,32,Azure,F4s_v2,0.1725,High,124.2
CRM,10073,1872,108,us-west,2,4,GCP,e2-medium,0.0325,Medium,23.4
News Portal,71621,3434,117,us-east,4,8,Azure,D4s_v3,0.1927,High,138.74
Social Media,140177,2328,1408,us-east,8,16,AWS,c5.2xlarge,0.3441,High,247.75
Banking,72647,3752,102,us-west,4,8,AWS,m5.xlarge,0.1949,High,140.33
Portfolio,255,22,9,us-west,1,2,Azure,B2s,0.0512,Low,36.86
Social Media,238499,1535,2555,us-west,8,16,Azure,F4s_v2,0.1678,High,120.82
CRM,11710,1217,198,us-east,2,4,Azure,B2s,0.0488,Medium,35.14
Social Media,366705,19099,1677,us-west,16,32,AWS,c5.2xlarge,0.3361,High,241.99
Blog,4347,119,40,us-west,2,4,AWS,t3.medium,0.0421,Low,30.31
Streaming,142923,19860,2140,us-west,8,16,AWS,c5.2xlarge,0.3391,High,244.15
Healthcare,15443,1546,431,us-east,2,4,AWS,t3.medium,0.0408,Medium,29.38
Banking,15423,1314,232,asia-south,2,4,GCP,e2-medium,0.0331,Medium,23.83
CRM,27154,1546,124,us-west,2,4,AWS,t3.medium,0.0404,Medium,29.09
CRM,59470,531,281,us-east,4,8,AWS,m5.xlarge,0.1936,High,139.39
ERP,52967,1980,149,us-east,4,8,Azure,D4s_v3,0.1909,High,137.45
CRM,45565,1310,227,us-east,4,8,Azure,D4s_v3,0.195,Medium,140.4
Blog,1748,59,12,us-east,1,2,GCP,e2-small,0.0168,Low,12.1
Portfolio,590,9,5,us-east,1,2,GCP,e2-small,0.017,Low,12.24
Blog,7893,106,12,us-east,2,4,AWS,t3.medium,0.042,Medium,30.24
Social Media,263949,17737,1000,asia-south,16,32,GCP,n2-standard-8,0.3889,High,280.01
News Portal,77954,882,141,us-east,4,8,AWS,m5.xlarge,0.1907,High,137.3
Blog,6287,65,29,us-east,2,4,AWS,t3.medium,0.0413,Medium,29.74
ERP,75608,574,417,us-west,4,8,AWS,m5.xlarge,0.1923,High,138.46
Blog,1539,61,14,asia-south,1,2,AWS,t3.small,0.021,Low,15.12
E-Commerce,73430,4581,149,us-west,4,8,GCP,n2-standard-4,0.1993,High,143.5
Streaming,65618,13147,3688,asia-south,4,8,GCP,n2-standard-4,0.1951,High,140.47
Healthcare,18575,2298,497,us-west,2,4,GCP,e2-medium,0.0337,Medium,24.26
Healthcare,32834,886,197,us-east,4,8,Azure,D4s_v3,0.1889,Medium,136.01
Banking,163709,1048,862,us-east,8,16,AWS,c5.2xlarge,0.3315,High,238.68
Banking,156134,4250,496,us-east,8,16,GCP,n2-standard-8,0.3793,High,273.1
Streaming,154392,3375,798,asia-south,8,16,AWS,c5.2xlarge,0.3407,High,245.3
ERP,10975,2838,281,us-east,2,4,GCP,e2-medium,0.0332,Medium,23.9
Streaming,390114,13099,3904,us-west,16,32,GCP,n2-standard-8,0.3988,High,287.14
Portfolio,745,34,2,asia-south,1,2,GCP,e2-small,0.017,Low,12.24
Blog,9028,163,12,us-east,2,4,GCP,e2-medium,0.0333,Medium,23.98
E-Commerce,67053,4249,333,us-west,4,8,Azure,D4s_v3,0.1975,High,142.2
Streaming,112785,3064,3097,us-east,8,16,AWS,c5.2xlarge,0.3304,High,237.89
CRM,75396,1883,158,asia-south,4,8,AWS,m5.xlarge,0.1926,High,138.67
Portfolio,1858,11,1,asia-south,1,2,Azure,B2s,0.0491,Low,35.35
CRM,22946,1625,116,us-east,2,4,AWS,t3.medium,0.0406,Medium,29.23
Healthcare,25058,1349,274,asia-south,2,4,AWS,t3.medium,0.0418,Medium,30.1
Healthcare,14751,2374,286,us-west,2,4,Azure,B2s,0.0506,Medium,36.43
Banking,90841,2956,516,us-east,4,8,Azure,D4s_v3,0.1923,High,138.46
Portfolio,683,25,3,us-west,1,2,GCP,e2-small,0.0171,Low,12.31
Blog,2751,154,43,us-west,1,2,Azure,B2s,0.0493,Low,35.5
Blog,6439,49,11,asia-south,2,4,AWS,t3.medium,0.042,Medium,30.24
CRM,48749,851,277,us-west,4,8,AWS,m5.xlarge,0.1923,Medium,138.46
E-Commerce,80551,1939,348,asia-south,4,8,GCP,n2-standard-4,0.1922,High,138.38
Blog,4293,32,22,us-east,2,4,GCP,e2-medium,0.0339,Low,24.41
Social Media,415753,18737,826,us-west,16,32,GCP,n2-standard-8,0.3893,High,280.3
Social Media,322703,18893,1717,us-west,16,32,Azure,F4s_v2,0.1699,High,122.33
Social Media,364928,10749,911,us-east,16,32,Azure,F4s_v2,0.1733,High,124.78
Healthcare,10339,1477,315,asia-south,2,4,GCP,e2-medium,0.0329,Medium,23.69
Streaming,191058,3705,1621,asia-south,8,16,AWS,c5.2xlarge,0.3499,High,251.93
Blog,565,47,35,asia-south,1,2,Azure,B2s,0.0495,Low,35.64
Banking,104667,3825,654,asia-south,8,16,Azure,F4s_v2,0.1677,High,120.74
CRM,25815,1410,290,us-east,2,4,AWS,t3.medium,0.041,Medium,29.52
ERP,31498,1868,186,asia-south,4,8,AWS,m5.xlarge,0.1909,Medium,137.45
News Portal,32229,337,170,asia-south,4,8,GCP,n2-standard-4,0.1952,Medium,140.54
E-Commerce,27199,4375,172,asia-south,2,4,AWS,t3.medium,0.041,Medium,29.52
Portfolio,1495,38,5,us-west,1,2,Azure,B2s,0.0489,Low,35.21
ERP,139145,2742,221,us-west,8,16,Azure,F4s_v2,0.1657,High,119.3
Healthcare,32657,2711,441,us-west,4,8,AWS,m5.xlarge,0.188,Medium,135.36
ERP,148354,1698,276,us-east,8,16,AWS,c5.2xlarge,0.3338,High,240.34
Healthcare,82433,1885,396,us-west,4,8,AWS,m5.xlarge,0.1899,High,136.73
CRM,37640,1462,269,us-east,4,8,Azure,D4s_v3,0.1937,Medium,139.46
Blog,7384,85,46,asia-south,2,4,GCP,e2-medium,0.0331,Medium,23.83
Banking,10380,1438,515,us-west,2,4,Azure,B2s,0.0505,Medium,36.36
ERP,76305,1025,395,us-west,4,8,Azure,D4s_v3,0.1906,High,137.23
News Portal,36451,2238,83,us-east,4,8,AWS,m5.xlarge,0.1905,Medium,137.16
Portfolio,572,20,1,asia-south,1,2,GCP,e2-small,0.0169,Low,12.17
Blog,6967,54,18,us-east,2,4,Azure,B2s,0.0497,Medium,35.78
Blog,9913,20,46,us-east,2,4,AWS,t3.medium,0.0427,Medium,30.74
Blog,725,125,11,asia-south,1,2,GCP,e2-small,0.0171,Low,12.31
ERP,127197,1091,175,us-east,8,16,Azure,F4s_v2,0.1715,High,123.48
Blog,6541,103,31,asia-south,2,4,AWS,t3.medium,0.0417,Medium,30.02
Social Media,376680,10013,2316,us-east,16,32,Azure,F4s_v2,0.1668,High,120.1
ERP,48250,1346,299,us-east,4,8,Azure,D4s_v3,0.194,Medium,139.68
ERP,73640,2506,350,asia-south,4,8,AWS,m5.xlarge,0.1885,High,135.72
CRM,62337,300,114,asia-south,4,8,AWS,m5.xlarge,0.1873,High,134.86
Healthcare,65762,849,131,asia-south,4,8,AWS,m5.xlarge,0.197,High,141.84
Portfolio,1632,34,9,us-west,1,2,GCP,e2-small,0.0173,Low,12.46
ERP,118371,952,247,asia-south,8,16,Azure,F4s_v2,0.1726,High,124.27
CRM,41612,562,159,asia-south,4,8,GCP,n2-standard-4,0.1993,Medium,143.5
Portfolio,1069,38,2,us-east,1,2,GCP,e2-small,0.0165,Low,11.88
Banking,101184,2983,759,us-west,8,16,Azure,F4s_v2,0.1731,High,124.63
Banking,62671,2757,959,us-east,4,8,AWS,m5.xlarge,0.1951,High,140.47
Healthcare,40342,857,345,us-west,4,8,GCP,n2-standard-4,0.1884,Medium,135.65
Banking,44992,640,899,us-west,4,8,AWS,m5.xlarge,0.1879,Medium,135.29
Banking,110815,2293,664,asia-south,8,16,GCP,n2-standard-8,0.3981,High,286.63
E-Commerce,19394,2392,419,us-east,2,4,Azure,B2s,0.0511,Medium,36.79
Social Media,153594,4238,1613,asia-south,8,16,GCP,n2-standard-8,0.3815,High,274.68
Social Media,439147,11165,2153,asia-south,16,32,GCP,n2-standard-8,0.3916,High,281.95
Blog,9792,47,20,asia-south,2,4,AWS,t3.medium,0.0427,Medium,30.74
CRM,38043,1858,112,asia-south,4,8,Azure,D4s_v3,0.1943,Medium,139.9
Social Media,468711,19822,2670,us-east,16,32,AWS,c5.2xlarge,0.3417,High,246.02
E-Commerce,87250,4271,320,asia-south,4,8,AWS,m5.xlarge,0.1968,High,141.7
E-Commerce,7565,2881,443,asia-south,2,4,Azure,B2s,0.0508,Medium,36.58
Social Media,240057,19610,1897,us-west,8,16,Azure,F4s_v2,0.1673,High,120.46
Banking,60703,2034,211,us-east,4,8,AWS,m5.xlarge,0.1912,High,137.66
CRM,60685,714,228,us-west,4,8,AWS,m5.xlarge,0.1917,High,138.02
CRM,31144,1487,152,us-west,4,8,AWS,m5.xlarge,0.1917,Medium,138.02
News Portal,98555,987,147,asia-south,4,8,AWS,m5.xlarge,0.1901,High,136.87
News Portal,56450,2206,133,asia-south,4,8,AWS,m5.xlarge,0.1899,High,136.73
Streaming,237108,17446,2475,us-east,8,16,AWS,c5.2xlarge,0.3453,High,248.62
Streaming,308552,9457,4029,asia-south,16,32,Azure,F4s_v2,0.1669,High,120.17
Social Media,28614,3499,922,asia-south,2,4,GCP,e2-medium,0.0321,Medium,23.11
E-Commerce,35317,3564,493,us-west,4,8,Azure,D4s_v3,0.189,Medium,136.08
ERP,132442,2189,373,asia-south,8,16,AWS,c5.2xlarge,0.3412,High,245.66
Blog,2181,194,40,asia-south,1,2,GCP,e2-small,0.0167,Low,12.02
E-Commerce,33931,1957,161,us-east,4,8,Azure,D4s_v3,0.1915,Medium,137.88
Blog,1099,85,5,us-west,1,2,Azure,B2s,0.0514,Low,37.01
News Portal,112253,1185,121,us-east,8,16,GCP,n2-standard-8,0.3951,High,284.47
News Portal,122922,1912,73,us-west,8,16,Azure,F4s_v2,0.1697,High,122.18
ERP,41137,883,228,asia-south,4,8,Azure,D4s_v3,0.1887,Medium,135.86
News Portal,145742,2175,61,us-west,8,16,AWS,c5.2xlarge,0.3308,High,238.18
CRM,75919,542,218,asia-south,4,8,Azure,D4s_v3,0.187,High,134.64
Portfolio,1996,36,4,asia-south,1,2,AWS,t3.small,0.0207,Low,14.9
Healthcare,48351,609,145,us-east,4,8,GCP,n2-standard-4,0.1883,Medium,135.58
News Portal,65117,4915,121,us-east,4,8,Azure,D4s_v3,0.1973,High,142.06
Healthcare,96275,1629,282,us-west,4,8,AWS,m5.xlarge,0.187,High,134.64
Banking,155827,1845,127,asia-south,8,16,AWS,c5.2xlarge,0.3494,High,251.57
Blog,9866,25,47,us-east,2,4,GCP,e2-medium,0.0336,Medium,24.19
ERP,55106,1142,219,us-east,4,8,AWS,m5.xlarge,0.1974,High,142.13
Portfolio,1600,16,4,asia-south,1,2,Azure,B2s,0.0497,Low,35.78
ERP,61811,1043,251,us-west,4,8,AWS,m5.xlarge,0.1973,High,142.06
Portfolio,1455,33,4,asia-south,1,2,Azure,B2s,0.0501,Low,36.07
E-Commerce,9127,1165,421,us-west,2,4,Azure,B2s,0.0488,Medium,35.14
ERP,106113,1727,451,us-east,8,16,Azure,F4s_v2,0.1717,High,123.62
E-Commerce,95166,718,476,asia-south,4,8,Azure,D4s_v3,0.1943,High,139.9
E-Commerce,67092,3297,53,us-east,4,8,GCP,n2-standard-4,0.1992,High,143.42
Streaming,68417,19466,1934,us-west,4,8,AWS,m5.xlarge,0.1874,High,134.93
Healthcare,19224,547,491,us-east,2,4,Azure,B2s,0.0504,Medium,36.29
ERP,29192,1129,312,us-east,2,4,GCP,e2-medium,0.0339,Medium,24.41
Healthcare,35049,880,236,asia-south,4,8,GCP,n2-standard-4,0.1949,Medium,140.33
Social Media,394196,19186,2674,us-west,16,32,AWS,c5.2xlarge,0.3348,High,241.06
News Portal,91520,3911,90,us-west,4,8,AWS,m5.xlarge,0.1972,High,141.98
News Portal,144682,4847,105,us-east,8,16,AWS,c5.2xlarge,0.3337,High,240.26
Banking,121381,1910,725,us-west,8,16,AWS,c5.2xlarge,0.3415,High,245.88
Banking,83184,3086,366,us-west,4,8,AWS,m5.xlarge,0.1942,High,139.82
ERP,15250,1303,307,us-east,2,4,GCP,e2-medium,0.0328,Medium,23.62
Healthcare,75182,2104,146,asia-south,4,8,Azure,D4s_v3,0.1968,High,141.7
News Portal,35237,1238,63,us-west,4,8,GCP,n2-standard-4,0.1899,Medium,136.73
Social Media,469406,4708,2794,us-west,16,32,GCP,n2-standard-8,0.3899,High,280.73
Healthcare,90151,2578,464,us-east,4,8,AWS,m5.xlarge,0.187,High,134.64
E-Commerce,11924,4443,142,us-west,2,4,Azure,B2s,0.0495,Medium,35.64
ERP,43142,1485,125,asia-south,4,8,Azure,D4s_v3,0.1943,Medium,139.9
News Portal,147519,807,111,us-west,8,16,Azure,F4s_v2,0.1645,High,118.44
Social Media,63813,12112,2650,us-west,4,8,AWS,m5.xlarge,0.1902,High,136.94
Blog,4754,86,26,asia-south,2,4,Azure,B2s,0.0513,Low,36.94
E-Commerce,28371,560,268,us-west,2,4,AWS,t3.medium,0.0417,Medium,30.02
ERP,46624,1403,457,us-east,4,8,GCP,n2-standard-4,0.1951,Medium,140.47
Blog,8986,57,44,asia-south,2,4,AWS,t3.medium,0.0428,Medium,30.82
Blog,7416,182,39,asia-south,2,4,Azure,B2s,0.0502,Medium,36.14
Streaming,291643,7394,2763,asia-south,16,32,GCP,n2-standard-8,0.3931,High,283.03
Streaming,65707,3084,594,us-west,4,8,AWS,m5.xlarge,0.1965,High,141.48
Portfolio,1687,47,1,asia-south,1,2,GCP,e2-small,0.0168,Low,12.1
Portfolio,271,25,3,us-west,1,2,GCP,e2-small,0.0173,Low,12.46
News Portal,26250,876,98,asia-south,2,4,GCP,e2-medium,0.0329,Medium,23.69
Blog,7692,157,46,us-west,2,4,Azure,B2s,0.0489,Medium,35.21
Portfolio,1712,45,10,us-east,1,2,Azure,B2s,0.0514,Low,37.01
E-Commerce,51312,2762,244,asia-south,4,8,GCP,n2-standard-4,0.1941,High,139.75
Blog,8757,185,23,us-east,2,4,AWS,t3.medium,0.0408,Medium,29.38
CRM,39184,526,71,asia-south,4,8,GCP,n2-standard-4,0.1996,Medium,143.71
E-Commerce,83688,4921,326,us-east,4,8,AWS,m5.xlarge,0.1948,High,140.26
CRM,69374,1269,283,asia-south,4,8,GCP,n2-standard-4,0.1936,High,139.39
Blog,2967,64,23,asia-south,1,2,GCP,e2-small,0.0167,Low,12.02
News Portal,16130,2773,147,asia-south,2,4,AWS,t3.medium,0.0425,Medium,30.6
Portfolio,1138,32,8,us-west,1,2,GCP,e2-small,0.0171,Low,12.31
Portfolio,1327,8,1,us-east,1,2,Azure,B2s,0.0488,Low,35.14
CRM,37192,973,138,us-east,4,8,GCP,n2-standard-4,0.1942,Medium,139.82
Streaming,96498,13844,4726,us-east,4,8,GCP,n2-standard-4,0.1944,High,139.97
Social Media,98621,14277,2047,us-east,4,8,Azure,D4s_v3,0.194,High,139.68
Blog,4363,125,14,us-west,2,4,AWS,t3.medium,0.0426,Low,30.67
CRM,72067,666,132,us-east,4,8,GCP,n2-standard-4,0.1972,High,141.98
Portfolio,849,24,3,us-east,1,2,Azure,B2s,0.0488,Low,35.14
News Portal,103389,543,191,us-east,8,16,GCP,n2-standard-8,0.3977,High,286.34
Portfolio,1380,35,1,us-east,1,2,Azure,B2s,0.0505,Low,36.36
ERP,73016,2180,408,us-west,4,8,AWS,m5.xlarge,0.1864,High,134.21
News Portal,125592,3108,54,asia-south,8,16,Azure,F4s_v2,0.1679,High,120.89
News Portal,142841,1713,82,us-east,8,16,GCP,n2-standard-8,0.3944,High,283.97
Portfolio,648,8,2,us-west,1,2,GCP,e2-small,0.0168,Low,12.1
Healthcare,38136,2365,163,us-east,4,8,Azure,D4s_v3,0.1947,Medium,140.18
Social Media,499846,18343,520,asia-south,16,32,AWS,c5.2xlarge,0.345,High,248.4
CRM,28258,1321,292,asia-south,2,4,GCP,e2-medium,0.0339,Medium,24.41
Banking,75277,4724,298,asia-south,4,8,AWS,m5.xlarge,0.1939,High,139.61
ERP,148496,762,304,us-east,8,16,Azure,F4s_v2,0.1694,High,121.97
ERP,50595,768,172,asia-south,4,8,Azure,D4s_v3,0.1968,High,141.7
Healthcare,86143,2976,251,us-west,4,8,AWS,m5.xlarge,0.1914,High,137.81
E-Commerce,73383,4881,380,us-west,4,8,AWS,m5.xlarge,0.1977,High,142.34
CRM,58430,809,90,asia-south,4,8,GCP,n2-standard-4,0.1892,High,136.22
ERP,120047,1034,288,us-east,8,16,GCP,n2-standard-8,0.398,High,286.56
Social Media,245909,8008,926,us-east,8,16,GCP,n2-standard-8,0.3783,High,272.38
CRM,15769,1146,273,us-west,2,4,AWS,t3.medium,0.0419,Medium,30.17
Healthcare,43223,2787,299,us-west,4,8,Azure,D4s_v3,0.1973,Medium,142.06
Streaming,443369,14244,2880,asia-south,16,32,GCP,n2-standard-8,0.384,High,276.48
Portfolio,482,30,4,us-east,1,2,AWS,t3.small,0.0203,Low,14.62
Streaming,228221,19808,2031,asia-south,8,16,AWS,c5.2xlarge,0.34,High,244.8
ERP,16098,846,340,us-west,2,4,Azure,B2s,0.0511,Medium,36.79
CRM,58895,1822,121,us-east,4,8,GCP,n2-standard-4,0.1971,High,141.91
CRM,72237,1379,295,asia-south,4,8,AWS,m5.xlarge,0.1913,High,137.74
Social Media,284878,1737,1425,us-west,16,32,Azure,F4s_v2,0.173,High,124.56
Blog,6535,81,40,us-east,2,4,Azure,B2s,0.0503,Medium,36.22
Social Media,291972,6847,1628,asia-south,16,32,Azure,F4s_v2,0.1694,High,121.97
E-Commerce,66037,704,394,us-west,4,8,AWS,m5.xlarge,0.1947,High,140.18
Streaming,69682,11492,971,asia-south,4,8,AWS,m5.xlarge,0.19,High,136.8
CRM,36302,619,284,us-west,4,8,Azure,D4s_v3,0.1976,Medium,142.27
ERP,103077,1295,369,us-east,8,16,AWS,c5.2xlarge,0.3352,High,241.34
News Portal,87594,1200,151,asia-south,4,8,Azure,D4s_v3,0.1955,High,140.76
ERP,47071,918,146,us-east,4,8,AWS,m5.xlarge,0.1934,Medium,139.25
News Portal,124208,4510,169,us-west,8,16,GCP,n2-standard-8,0.3934,High,283.25
Blog,9419,32,43,us-east,2,4,AWS,t3.medium,0.0424,Medium,30.53
ERP,73201,2930,146,asia-south,4,8,GCP,n2-standard-4,0.19,High,136.8
ERP,139127,1387,168,asia-south,8,16,AWS,c5.2xlarge,0.3472,High,249.98
Streaming,168341,3284,3831,us-west,8,16,GCP,n2-standard-8,0.3856,High,277.63
Portfolio,1581,9,2,asia-south,1,2,AWS,t3.small,0.0209,Low,15.05
News Portal,137352,4268,133,asia-south,8,16,Azure,F4s_v2,0.1656,High,119.23
Blog,8064,148,31,asia-south,2,4,GCP,e2-medium,0.0323,Medium,23.26
Social Media,397637,18185,534,us-east,16,32,GCP,n2-standard-8,0.3815,High,274.68
E-Commerce,32355,417,465,asia-south,4,8,Azure,D4s_v3,0.1975,Medium,142.2
News Portal,32982,2940,156,us-east,4,8,AWS,m5.xlarge,0.1919,Medium,138.17
Social Media,87060,18166,553,asia-south,4,8,Azure,D4s_v3,0.1895,High,136.44
Healthcare,48758,2134,426,asia-south,4,8,Azure,D4s_v3,0.1866,Medium,134.35
Banking,79176,2823,942,us-west,4,8,GCP,n2-standard-4,0.1951,High,140.47
Blog,7307,20,44,us-east,2,4,Azure,B2s,0.0512,Medium,36.86
ERP,112697,2006,412,asia-south,8,16,GCP,n2-standard-8,0.3799,High,273.53
Streaming,120215,3898,1124,us-east,8,16,GCP,n2-standard-8,0.3877,High,279.14
News Portal,23589,1209,184,us-east,2,4,GCP,e2-medium,0.0338,Medium,24.34
News Portal,80192,1091,188,us-west,4,8,GCP,n2-standard-4,0.1908,High,137.38
